arquivo,titulo,subtitulo,data_publicacao,data_atualizacao,tags,dateline,nome_operacao_encontrado,identidade_canonica,classificacao,crimes_mais_presentes,modus_operandi,fonte_classificacao,confianca_regex
593-trabalhadores-sao-resgatados-em-condicoes-analogas-a-escravidao-na-maior-operacao-da-historia-do-brasil-cc68fbc6.md,593 trabalhadores são resgatados em condições análogas à escravidão na maior operação da história do Brasil,"Operação Resgate IV ocorreu entre 19 de julho e 28 de agosto, em 15 estados e no Distrito Federal",29/08/2024,29/08/2024,"[""Distrito Federal"", ""Operação PF"", ""Resgate"", ""Destaque"", ""Trabalho escravo""]",Brasília/DF.,Resgate IV,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca"", ""exploracao_pessoas""]","[""resgate_vitimas"", ""fiscalizacao"", ""prisao"", ""cooperacao_interagencias"", ""fronteira_transnacional""]",regex,0.95
748-toneladas-de-maconha-sao-destruidas-na-30a-fase-da-operacao-nova-alianca-no-paraguai-69ccf9fa.md,748 toneladas de maconha são destruídas na 30ª fase da Operação Nova Aliança no Paraguai,Cooperação internacional entre Polícia Federal e autoridades paraguaias terá outras fases ainda neste ano.,28/02/2022,03/02/2023,"[""Polícia Federal"", ""Operação PF"", ""Destaque"", ""CGCS"", ""Cooperação internacional"", ""tráfico internacional de drogas""]",Brasília / DF,Nova Alianca,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""organizacao_criminosa""]","[""fronteira_transnacional""]",regex,0.95
a-ficco-rj-deflagra-operacao-em-combate-a-aquisicao-ilegal-de-armas-de-fogo-7f84a6a5.md,A FICCO/RJ deflagra operação em combate a aquisição ilegal de armas de fogo,São cumpridos dois mandados de busca e apreensão em Bom Jardim/RJ,27/08/2024,27/08/2024,"[""Operação PF"", ""Rio de Janeiro"", ""Arma de fogo ilegal""]",Rio de Janeiro/RJ.,Falsario,crimes_armas,Por crime,"[""crimes_armas"", ""falsificacoes"", ""roubo_furto"", ""organizacao_criminosa""]","[""busca_apreensao"", ""cooperacao_interagencias"", ""prisao""]",regex,0.95
a-pf-prende-estelionatarios-do-bpc-loas-em-pacaraima-rr-8a163f6f.md,PF prende estelionatários do BPC/LOAS em Pacaraima/RR,Cinco cidadãos venezuelanos foram presos em flagrante,05/09/2025,,"[""Operação PF"", ""Pacaraima"", ""Roraima""]",Pacaraima/RR.,,crime_fraude_previdenciaria,Por crime,"[""fraude_previdenciaria"", ""crimes_ciberneticos_financeiros""]","[""prisao"", ""atuacao_online"", ""fronteira_transnacional""]",regex,0.95
a-policia-federal-deflagra-operacao-livramento-em-repressao-a-disseminacao-de-pornografia-infantil-bc392c03.md,A Polícia Federal deflagra Operação Livramento em repressão à disseminação de pornografia infantil,Foram cumpridos um mandado de prisão e dois de busca na cidade de Umuarama/PR,30/04/2021,02/02/2023,"[""Operação PF"", ""Destaque"", ""Pornografia infantil""]",,Livramento,crimes_contra_crianca,Por crime,"[""crimes_contra_crianca""]","[""busca_apreensao"", ""prisao"", ""resgate_vitimas""]",regex,0.95
a-policia-federal-deflagra-operacao-mitra-para-reprimir-o-porte-ilegal-de-arma-de-fogo-no-acre-dcbb11eb.md,A Polícia Federal deflagra Operação Mitra para reprimir o porte ilegal de arma de fogo no Acre,Mandados de busca foram cumpridos na cidade de Brasiléia,29/03/2021,25/01/2023,"[""Operação PF"", ""Porte ilegal de arma de fogo""]",,Mitra,crimes_armas,Por crime,"[""crimes_armas""]","[""busca_apreensao""]",regex,0.95
a-policia-federal-deflagrou-a-operacao-midas-de-combate-ao-crime-de-moeda-falsa-ae26dc61.md,A Polícia Federal deflagrou a Operação MIDAS de combate ao crime de moeda falsa,"A ação ocorreu na cidade de Tarauacá, interior do Acre",28/02/2022,03/02/2023,"[""Operação PF"", ""Destaque"", ""Moeda falsa""]",,MIDAS,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""falsificacoes"", ""organizacao_criminosa""]","[""busca_apreensao""]",regex,0.95
a-policia-federal-desarticula-esquema-de-desvios-de-recursos-do-fundo-municipal-de-saude-em-araguaina-to-50d2b8d9.md,A Polícia Federal desarticula esquema de desvios de Recursos do Fundo Municipal de Saúde em Araguaína/TO.,"PF deflagra Operação Sempiternus e cumpre 17 mandados judiciais no Tocantins, em Goiás e no Distrito Federal.",27/02/2021,24/01/2023,"[""Tocantins"", ""Polícia Federal"", ""Destaque"", ""Operação PF""]",,Sempiternus,crime_corrupcao_desvio,Por crime,"[""corrupcao_desvio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""desarticulacao_rede""]",regex,0.95
a-policia-federal-e-a-receita-federal-desarticulam-organizacoes-criminosas-especializadas-no-trafico-internacional-de-drogas-entre-o-brasil-e-a-europa-0ed01a8b.md,A Polícia Federal e a Receita Federal desarticulam organizações criminosas especializadas no tráfico internacional de drogas entre o Brasil e a Europa,"As Operações Retis e Spiderweb são desdobramentos da Operação Enterprise, deflagrada pela Polícia Federal no dia 23/11/2020",28/02/2022,03/02/2023,"[""Operação PF"", ""Destaque"", ""Organização criminosa"", ""Tráfico internacional de drogas""]",,Enterprise,crime_trafico_drogas,Por crime,"[""trafico_drogas"", ""homicidio"", ""organizacao_criminosa""]","[""busca_apreensao"", ""prisao"", ""bloqueio_bens"", ""cooperacao_interagencias"", ""desarticulacao_rede"", ""combate_financeiro""]",regex,0.95
a-policia-federal-em-conjunto-com-o-exercito-brasileiro-realizou-a-primeira-fase-da-operacao-palimiu-10b40bec.md,"A Polícia Federal, em conjunto com o Exército Brasileiro, realizou a primeira fase da Operação Palimiú","Estão sendo investigadas as ações dos garimpeiros ilegais contra a comunidade indígena, bem como a ocorrência de crimes ambientais na região",31/05/2021,02/02/2023,"[""Operação PF"", ""Destaque"", ""Garimpo ilegal"", ""Crimes ambientais""]",,Palimiu Estao,crimes_ambientais,Por crime,"[""crimes_ambientais"", ""crimes_armas""]","[""cooperacao_interagencias""]",regex,0.95
