iteration,batch_id,docs,wnn_attempted,wnn_accepted,wnn_abstained,post_wnn_residual,llm_processed,agent3_attempted,agent3_reviewed,agent3_classified,agent3_quarantined,agent3_new_theme_candidates,wnn_multi_discriminator_candidates,agent3_rare_news,rare_promoted_candidates,agent3_errors,learned_rules,tokens_total,prompt_tokens_total,completion_tokens_total,avg_tokens_per_llm,semantic_original_tokens,semantic_kept_tokens,semantic_reduction_ratio,wnn_memory_vocab_size,wnn_memory_active_avg,wnn_rate,cumulative_docs,cumulative_wnn_accepted,cumulative_llm_processed,cumulative_wnn_rate,elapsed_seconds,wnn_feature_bank,output
1,lote_0001,500,500,482,18,18,18,18,18,18,0,0,2,7,0,0,29,32893,28699,4194,1827.3889,81446,48025,0.410346,293,18.93,0.964,500,482,18,0.964,221.9735,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0001_classificacoes.csv
2,lote_0002,500,500,395,105,105,105,105,105,105,0,0,13,19,0,0,221,201613,173725,27888,1920.1238,81345,48845,0.399533,327,18.022,0.79,1000,877,123,0.877,665.2776,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0002_classificacoes.csv
3,lote_0003,500,500,438,62,62,62,62,62,62,0,0,9,14,0,0,122,117033,100831,16202,1887.629,65972,39579,0.400064,349,17.986,0.876,1500,1315,185,0.876667,451.3444,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0003_classificacoes.csv
4,lote_0004,500,500,397,103,103,103,103,103,97,0,6,11,24,6,0,208,190892,165117,25775,1853.3204,71779,42923,0.402012,360,19.108,0.794,2000,1712,288,0.856,860.8724,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0004_classificacoes.csv
5,lote_0005,500,500,423,77,77,77,77,77,73,0,4,3,13,4,0,143,144739,125730,19009,1879.7273,68499,40798,0.4044,394,18.616,0.846,2500,2135,365,0.854,548.6542,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0005_classificacoes.csv
6,lote_0006,500,500,430,70,70,70,70,70,67,0,3,11,13,3,0,140,133754,115130,18624,1910.7714,74818,45290,0.394664,419,21.48,0.86,3000,2565,435,0.855,535.6881,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0006_classificacoes.csv
7,lote_0007,500,500,412,88,88,88,88,88,87,0,1,11,2,1,0,222,172809,146669,26140,1963.7386,69416,41704,0.399216,437,21.642,0.824,3500,2977,523,0.850571,708.4756,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0007_classificacoes.csv
8,lote_0008,500,500,421,79,79,79,79,79,77,0,2,13,5,2,0,202,156304,132878,23426,1978.5316,71281,42842,0.39897,469,21.382,0.842,4000,3398,602,0.8495,648.1766,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0008_classificacoes.csv
9,lote_0009,500,500,412,88,88,88,88,88,86,0,2,8,12,2,0,210,172196,146847,25349,1956.7727,76395,45620,0.402841,483,22.62,0.824,4500,3810,690,0.846667,701.6747,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0009_classificacoes.csv
10,lote_0010,500,500,425,75,75,75,75,75,73,0,2,7,5,2,0,197,149636,127447,22189,1995.1467,83221,50106,0.397916,502,24.744,0.85,5000,4235,765,0.847,670.8255,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0010_classificacoes.csv
11,lote_0011,500,500,419,81,81,81,81,81,79,0,2,10,11,1,0,163,157722,134999,22723,1947.1852,73772,44409,0.398024,516,22.124,0.838,5500,4654,846,0.846182,682.2122,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0011_classificacoes.csv
12,lote_0012,500,500,386,114,114,114,114,114,113,0,1,7,23,1,0,236,217992,187729,30263,1912.2105,77052,45962,0.403494,531,23.776,0.772,6000,5040,960,0.84,914.9777,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0012_classificacoes.csv
13,lote_0013,500,500,306,194,194,194,194,194,190,0,4,3,9,2,0,482,367701,312511,55190,1895.366,67594,40390,0.402462,533,12.196,0.612,6500,5346,1154,0.822462,1167.992,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0013_classificacoes.csv
14,lote_0014,500,500,321,179,179,178,179,178,170,0,8,13,4,8,1,501,364712,314760,49952,2048.9438,76047,45512,0.401528,360,14.146,0.642,7000,5667,1332,0.809571,1091.5706,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0014_classificacoes.csv
15,lote_0015,479,479,338,141,141,141,141,141,135,0,6,6,1,6,0,398,290700,250323,40377,2061.7021,76289,45527,0.40323,362,13.9749,0.705637,7479,6005,1473,0.802915,778.4513,D:\github\NT_PF\data\analise_qualitativa\wnn_feature_bank.json,D:\github\NT_PF\data\analise_qualitativa\lotes\lote_0015_classificacoes.csv
